219.104.38.17,2015-08-12 21:17:14,GET,/htm/,?p=rank,HTTP/1.1,"-","Mozilla/5.0 (Linux; Android 4.1.2; SBM205SH Build/S0008) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.78 Mobile Safari/537.36 OPR/30.0.1856.93524"
219.104.38.17,2015-08-12 21:17:21,GET,/myprofile/,,HTTP/1.1,"http://juken-stg.quigen.info/htm/?p=rank","Mozilla/5.0 (Linux; Android 4.1.2; SBM205SH Build/S0008) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.78 Mobile Safari/537.36 OPR/30.0.1856.93524"
219.104.38.17,2015-08-12 21:17:30,POST,/mydataedit/,,HTTP/1.1,"http://juken-stg.quigen.info/myprofile/","Mozilla/5.0 (Linux; Android 4.1.2; SBM205SH Build/S0008) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.78 Mobile Safari/537.36 OPR/30.0.1856.93524"
219.104.38.17,2015-08-12 21:17:49,POST,/mydataedit/,,HTTP/1.1,"http://juken-stg.quigen.info/myprofile/","Mozilla/5.0 (Linux; Android 4.1.2; SBM205SH Build/S0008) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.78 Mobile Safari/537.36 OPR/30.0.1856.93524"
219.104.38.17,2015-08-12 21:17:55,GET,/myprofile/,,HTTP/1.1,"http://juken-stg.quigen.info/htm/?p=rank","Mozilla/5.0 (Linux; Android 4.1.2; SBM205SH Build/S0008) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.78 Mobile Safari/537.36 OPR/30.0.1856.93524"
219.104.38.17,2015-08-12 21:18:01,POST,/mydataedit/,,HTTP/1.1,"http://juken-stg.quigen.info/myprofile/","Mozilla/5.0 (Linux; Android 4.1.2; SBM205SH Build/S0008) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.78 Mobile Safari/537.36 OPR/30.0.1856.93524"
219.104.38.17,2015-08-12 21:18:02,GET,/twoauth/,,HTTP/1.1,"http://juken-stg.quigen.info/myprofile/","Mozilla/5.0 (Linux; Android 4.1.2; SBM205SH Build/S0008) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.78 Mobile Safari/537.36 OPR/30.0.1856.93524"
219.104.38.17,2015-08-12 21:18:37,GET,/twcallback/,?oauth_token=sM3pjAAAAAAAhA9IAAABTyHYh24&oauth_verifier=E8YfCqtMeULT1NDUOQ2RA1rEBTtwybuW,HTTP/1.1,"-","Mozilla/5.0 (Linux; Android 4.1.2; SBM205SH Build/S0008) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.78 Mobile Safari/537.36 OPR/30.0.1856.93524"
219.104.38.17,2015-08-12 21:18:38,GET,/myprofile/,,HTTP/1.1,"-","Mozilla/5.0 (Linux; Android 4.1.2; SBM205SH Build/S0008) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.78 Mobile Safari/537.36 OPR/30.0.1856.93524"
219.104.38.17,2015-08-12 21:18:55,GET,/top/,,HTTP/1.1,"http://juken-stg.quigen.info/myprofile/","Mozilla/5.0 (Linux; Android 4.1.2; SBM205SH Build/S0008) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.78 Mobile Safari/537.36 OPR/30.0.1856.93524"
